,stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
0,Ok,02-04-2024 12:45:00,1712042100,47654.70,47661.40,47604.95,47608.80,0.00,0,0,0,0
1,Ok,02-04-2024 12:30:00,1712041200,47590.10,47663.10,47590.10,47651.50,0.00,0,0,0,0
2,Ok,02-04-2024 12:15:00,1712040300,47597.65,47624.10,47579.25,47589.10,0.00,0,0,0,0
3,Ok,02-04-2024 12:00:00,1712039400,47603.85,47628.95,47582.30,47598.85,0.00,0,0,0,0
4,Ok,02-04-2024 11:45:00,1712038500,47607.05,47627.65,47586.80,47603.70,0.00,0,0,0,0
5,Ok,02-04-2024 11:30:00,1712037600,47618.20,47649.20,47602.25,47605.75,0.00,0,0,0,0
6,Ok,02-04-2024 11:15:00,1712036700,47619.55,47631.55,47599.10,47615.70,0.00,0,0,0,0
7,Ok,02-04-2024 11:00:00,1712035800,47568.00,47697.35,47550.85,47623.25,0.00,0,0,0,0
8,Ok,02-04-2024 10:45:00,1712034900,47593.50,47622.45,47565.00,47568.85,0.00,0,0,0,0
9,Ok,02-04-2024 10:30:00,1712034000,47586.55,47606.45,47546.40,47596.15,0.00,0,0,0,0
10,Ok,02-04-2024 10:15:00,1712033100,47577.90,47627.50,47558.75,47586.10,0.00,0,0,0,0
11,Ok,02-04-2024 10:00:00,1712032200,47584.80,47632.40,47564.85,47575.75,0.00,0,0,0,0
12,Ok,02-04-2024 09:45:00,1712031300,47689.25,47706.40,47560.75,47580.55,0.00,0,0,0,0
13,Ok,02-04-2024 09:30:00,1712030400,47497.70,47694.55,47484.05,47688.70,0.00,0,0,0,0
14,Ok,02-04-2024 09:15:00,1712029500,47515.45,47541.00,47410.45,47500.30,0.00,0,0,0,0
15,Ok,01-04-2024 15:15:00,1711964700,47585.80,47643.00,47490.75,47490.75,0.00,0,0,0,0
16,Ok,01-04-2024 15:00:00,1711963800,47553.10,47591.50,47528.25,47583.85,0.00,0,0,0,0
17,Ok,01-04-2024 14:45:00,1711962900,47478.65,47559.75,47470.45,47554.30,0.00,0,0,0,0
18,Ok,01-04-2024 14:30:00,1711962000,47495.00,47526.75,47447.90,47480.45,0.00,0,0,0,0
19,Ok,01-04-2024 14:15:00,1711961100,47505.50,47513.40,47471.75,47498.10,0.00,0,0,0,0
20,Ok,01-04-2024 14:00:00,1711960200,47488.30,47536.15,47483.80,47498.55,0.00,0,0,0,0
21,Ok,01-04-2024 13:45:00,1711959300,47523.95,47532.40,47476.15,47487.45,0.00,0,0,0,0
22,Ok,01-04-2024 13:30:00,1711958400,47508.20,47562.80,47506.25,47527.40,0.00,0,0,0,0
23,Ok,01-04-2024 13:15:00,1711957500,47468.10,47511.75,47461.00,47506.35,0.00,0,0,0,0
24,Ok,01-04-2024 13:00:00,1711956600,47500.25,47511.30,47432.30,47466.80,0.00,0,0,0,0
25,Ok,01-04-2024 12:45:00,1711955700,47543.40,47543.50,47457.25,47499.45,0.00,0,0,0,0
26,Ok,01-04-2024 12:30:00,1711954800,47550.20,47562.45,47535.70,47544.70,0.00,0,0,0,0
27,Ok,01-04-2024 12:15:00,1711953900,47547.55,47572.50,47530.20,47550.85,0.00,0,0,0,0
28,Ok,01-04-2024 12:00:00,1711953000,47566.15,47581.90,47544.55,47547.70,0.00,0,0,0,0
29,Ok,01-04-2024 11:45:00,1711952100,47570.80,47587.50,47535.70,47564.45,0.00,0,0,0,0
