time,open,high,low,close,cpr,bc,tc,ema_60m,ema_15m,ST Direction,ST Value
26-03-2024 09:15:00,46638.75,46782.15,46638.75,46738.05,46719.65,46710.45,46728.85,,46738.05,1.0,46409.31
26-03-2024 09:30:00,46740.5,46778.4,46684.1,46713.45,46725.32,46731.25,46719.39,,46713.45,1.0,46533.22
26-03-2024 09:45:00,46714.1,46738.15,46667.95,46689.3,46698.47,46703.05,46693.89,,46689.3,1.0,46555.63
26-03-2024 10:00:00,46688.25,46716.3,46594.05,46638.15,46649.5,46655.18,46643.82,,46638.15,1.0,46555.63
26-03-2024 10:15:00,46634.55,46675.5,46605.5,46661.8,46647.6,46640.5,46654.7,,46661.8,1.0,46555.63
26-03-2024 10:30:00,46659.55,46725.65,46620.85,46631.4,46659.3,46673.25,46645.35,46678.69166666667,46631.4,1.0,46555.63
26-03-2024 10:45:00,46630.3,46654.75,46620.15,46630.3,46635.07,46637.45,46632.69,46664.86547619048,46630.3,1.0,46564.79
26-03-2024 11:00:00,46630.0,46659.8,46608.95,46636.5,46635.08,46634.38,46635.78,46656.761054421775,46636.5,1.0,46564.79
26-03-2024 11:15:00,46635.2,46694.65,46621.95,46680.65,46665.75,46658.3,46673.2,46663.586467444125,46680.65,1.0,46564.79
26-03-2024 11:30:00,46680.85,46732.9,46669.6,46731.75,46711.42,46701.25,46721.59,46683.06176246009,46731.75,1.0,46568.32
26-03-2024 11:45:00,46730.9,46753.95,46691.15,46698.4,46714.5,46722.55,46706.45,46687.44411604293,46698.4,1.0,46590.67
26-03-2024 12:00:00,46698.5,46724.55,46662.95,46680.75,46689.42,46693.75,46685.09,46685.53151145924,46680.75,1.0,46590.67
26-03-2024 12:15:00,46681.45,46730.1,46675.95,46712.3,46706.12,46703.02,46709.22,46693.179651042316,46712.3,1.0,46590.67
26-03-2024 12:30:00,46715.2,46726.4,46685.45,46706.9,46706.25,46705.93,46706.57,46697.09975074451,46706.9,1.0,46619.93
